episode,episode_length,total_reward,epsilon,avg_q_value
115,72,-74.81603005458516,0.8913148576343527,19.931362
116,94,-108.35669133322203,0.8904235427767183,20.109447
117,87,-74.8839994485638,0.8895331192339416,19.721527
118,104,-113.7229218769547,0.8886435861147077,19.42737
119,85,-91.40795564606327,0.887754942528593,19.488232
120,68,-102.95488984699466,0.8868671875860644,19.952953
121,93,-94.79164220194481,0.8859803203984784,19.715603
122,78,-129.1575148218266,0.88509434007808,21.286997
123,110,-135.6972980140145,0.8842092457380019,21.501644
124,133,-205.42189579675386,0.8833250364922639,21.22343
125,122,-64.80636780998174,0.8824417114557717,21.624147
126,102,-222.7163552833947,0.8815592697443159,21.213657
127,93,-198.0294263194171,0.8806777104745716,20.881617
128,67,-43.43020246859596,0.8797970327640969,21.048996
129,63,-59.27986048619043,0.8789172357313328,21.012135
130,84,-95.23096956711308,0.8780383184956015,21.309734
131,86,-22.7154642863687,0.8771602801771059,20.775793
132,96,-122.23784450625249,0.8762831198969288,22.222261
133,88,-114.27851652095526,0.8754068367770318,23.126352
134,112,-285.09651185941493,0.8745314299402548,22.432135
135,112,-113.7758271451605,0.8736568985103146,22.95753
136,100,-94.31752138835019,0.8727832416118043,23.108078
137,74,-102.56477181570175,0.8719104583701925,22.76614
138,64,-87.61699099426912,0.8710385479118223,22.75034
139,112,-84.57347553586847,0.8701675093639105,22.783892
140,74,-113.92119645758916,0.8692973418545467,22.823349
141,91,-112.70872002700841,0.8684280445126921,22.892336
142,113,-336.7606365915475,0.8675596164681794,22.414255
143,115,-125.07771753059937,0.8666920568517111,23.775757
144,67,-89.70622310888551,0.8658253647948594,23.38406
145,103,-71.38179422545458,0.8649595394300645,23.359287
146,97,-114.42199565882432,0.8640945798906344,23.920582
147,150,-100.02178697163292,0.8632304853107438,23.138218
148,125,-127.34680201953643,0.862367254825433,23.374832
149,121,-138.75050248840947,0.8615048875706075,23.799011
150,95,-112.17263450060243,0.8606433826830369,24.174805
151,112,-101.70039655831815,0.8597827393003539,23.37932
152,83,-41.87546963400027,0.8589229565610536,24.666433
153,121,19.643097243707032,0.8580640336044925,24.378109
154,108,-47.42283266751353,0.857205969570888,24.659023
155,107,-186.6957543198151,0.8563487636013172,24.601316
156,68,-77.30230762080556,0.8554924148377159,24.73495
157,107,-106.32551496025587,0.8546369224228781,24.583427
158,89,-62.95809815538218,0.8537822855004553,25.116484
159,70,-110.69083795726507,0.8529285032149548,24.868214
160,133,-105.17050053185837,0.8520755747117399,24.484354
161,93,-223.07801746379795,0.8512234991370281,24.829773
162,72,-71.50131486609892,0.8503722756378911,25.436436
163,99,-93.04400687342482,0.8495219033622532,25.35752
164,71,-66.8327488814821,0.8486723814588909,26.151478
165,86,-99.39363057582585,0.847823709077432,26.129663
166,62,-78.82969022738445,0.8469758853683546,26.06748
167,96,-79.90361582549944,0.8461289094829862,26.073696
168,99,-119.9584044671708,0.8452827805735033,25.925003
169,95,-133.1919835563749,0.8444374977929298,25.766342
170,64,-62.12044706485489,0.8435930602951368,25.886387
171,117,-58.365061471131355,0.8427494672348417,26.101917
172,104,-60.938386244842555,0.8419067177676068,26.344656
173,96,-71.21624609615766,0.8410648110498392,26.82552
174,65,-85.97879689370714,0.8402237462387894,27.90682
175,83,-139.29402654927787,0.8393835224925505,27.674026
176,94,-96.9460934600971,0.838544138970058,27.909912
177,94,-148.09390219473926,0.8377055948310879,27.611866
178,112,-166.89526547863187,0.8368678892362568,28.102158
179,107,-139.79846559984492,0.8360310213470206,28.440771
180,94,-93.120098985805,0.8351949903256736,27.779135
181,103,-110.3765286362463,0.8343597953353479,28.179935
182,86,-153.2191521465688,0.8335254355400126,27.80931
183,109,-102.30335887148306,0.8326919101044725,28.446362
184,95,-127.18124179046555,0.831859218194368,29.26377
185,83,-90.13267848908691,0.8310273589761736,29.440857
186,114,-70.99185003601845,0.8301963316171974,29.654596
187,70,-20.916113201791617,0.8293661352855802,29.26737
188,89,-150.0663498807485,0.8285367691502946,29.315258
189,71,-66.10824790650824,0.8277082323811443,29.28838
190,111,-121.30567910576482,0.8268805241487632,29.084595
191,71,-29.762843043149758,0.8260536436246144,29.1179
192,88,-313.2532412668628,0.8252275899809898,29.317661
193,125,-34.05704872097182,0.8244023623910088,29.181244
194,100,-92.59965694807254,0.8235779600286178,29.380474
195,89,-78.17862273737813,0.8227543820685892,30.76945
196,106,-38.32419524311851,0.8219316276865206,30.796026
197,106,-33.98468619440696,0.8211096960588341,31.215496
198,124,-20.513693390350767,0.8202885863627752,31.306835
199,90,-31.062269577103336,0.8194682977764125,30.919363
200,101,-41.198540077379604,0.818648829478636,30.862259
201,118,-61.75474934552014,0.8178301806491574,30.847372
202,82,-91.08949609695114,0.8170123504685082,31.112865
203,68,-48.184012597062406,0.8161953381180397,30.76112
204,112,-135.6787741105295,0.8153791427799216,31.40243
205,78,-73.12716936261808,0.8145637636371417,31.9044
206,68,-60.71752891988639,0.8137491998735046,31.78127
207,129,-102.82522917406068,0.812935450673631,32.013985
208,94,-62.93480945369407,0.8121225152229574,32.572014
209,75,-104.88217139618673,0.8113103927077344,32.857513
210,125,-113.06896275391121,0.8104990823150267,32.741444
211,71,-61.048649102921836,0.8096885832327116,31.531713
212,70,-76.57135811307622,0.8088788946494789,32.285603
213,83,-48.2923160020574,0.8080700157548294,32.026985
214,112,-58.175653786464466,0.8072619457390746,32.50756
215,100,-42.91140771538146,0.8064546837933355,31.94617
216,113,-132.2453812836181,0.8056482291095421,31.84431
217,108,-136.8844505580243,0.8048425808804326,32.347424
218,146,-99.18829188775938,0.8040377382995522,31.4168
219,78,-23.020408663262174,0.8032337005612527,32.63298
220,100,-107.62569413485761,0.8024304668606914,32.59324
221,81,-60.679948481913655,0.8016280363938307,32.34797
222,73,-65.00977896500191,0.8008264083574369,32.62786
223,130,-98.63975934323534,0.8000255819490795,32.30776
224,92,-67.87471823394853,0.7992255563671304,32.504833
225,107,-79.6177757033681,0.7984263308107633,32.35476
226,70,-39.14694752098662,0.7976279044799526,32.93924
227,125,-111.87387283436756,0.7968302765754727,33.587276
228,110,-64.95557353541042,0.7960334462988972,33.53512
229,85,-63.09238265444817,0.7952374128525983,32.958874
230,64,-75.91995276999295,0.7944421754397457,33.355286
231,87,-107.46288550180122,0.7936477332643059,32.941437
232,119,-125.6111206065492,0.7928540855310416,32.94291
233,98,-89.74626577091544,0.7920612314455105,33.044594
234,80,-54.65473254855895,0.7912691702140651,33.77378
235,120,-42.341008971110405,0.790477901043851,32.572083
236,80,-69.33400900775226,0.7896874231428072,33.98347
237,113,-71.27376480259503,0.7888977357196644,32.65736
238,108,-73.8945758113816,0.7881088379839447,33.271423
239,81,-57.08638445817882,0.7873207291459607,33.531517
240,63,-29.23987508331095,0.7865334084168147,33.305073
241,109,-82.62817915915642,0.7857468750083979,33.968132
242,72,-54.88242508421511,0.7849611281333895,32.813652
243,93,-115.35118323734481,0.784176167005256,33.21363
244,86,-33.057115452392466,0.7833919908382508,32.732952
245,106,-115.09401762671294,0.7826085988474126,33.16135
246,58,-106.28323079738082,0.7818259902485653,33.010754
247,90,-66.18507041620516,0.7810441642583167,32.814583
248,74,-63.76727935275495,0.7802631200940584,33.777508
249,77,-61.26133752100891,0.7794828569739644,33.23138
250,104,-33.75969541426329,0.7787033741169904,32.864826
251,68,-98.04415987636747,0.7779246707428734,33.034115
252,125,-35.07720691393014,0.7771467460721305,33.20357
253,166,-130.82685874553493,0.7763695993260584,33.43336
254,170,-3.7738022862977942,0.7755932297267324,33.38164
255,63,-46.391508678922264,0.7748176364970056,33.594593
256,76,-114.89402071932714,0.7740428188605086,32.998535
257,88,-74.68140654377119,0.7732687760416481,34.32018
258,164,-51.243285759748204,0.7724955072656065,33.41679
259,138,-75.05693655520393,0.7717230117583408,33.767982
260,76,-69.85822793159092,0.7709512887465825,34.10858
261,94,-72.75937372316123,0.7701803374578359,33.97599
262,84,-100.30186902624902,0.7694101571203781,34.25698
263,161,-31.507310776961262,0.7686407469632577,33.817272
264,62,-126.66297645461262,0.7678721062162944,34.02375
265,94,-58.626761046953604,0.7671042341100781,33.53611
266,108,-100.86441665172117,0.766337129875968,34.716717
267,82,-67.86660286531873,0.7655707927460921,33.80263
268,94,-86.04168741020071,0.764805221953346,34.22495
269,102,-69.0840804733702,0.7640404167313927,34.126965
270,100,-87.35195485930062,0.7632763763146613,34.444317
271,98,-79.93518760163961,0.7625130999383466,34.28663
272,77,-60.674435122141745,0.7617505868384082,34.513573
273,146,-199.29172693155326,0.7609888362515699,34.141636
274,77,-88.94935610071873,0.7602278474153183,34.946827
275,79,-67.68430911650617,0.759467619567903,34.33974
276,97,-56.743127409442316,0.7587081519483351,34.5795
277,146,-14.314529404262572,0.7579494437963867,34.996082
278,121,-51.91521728227376,0.7571914943525904,35.39785
279,82,-92.57321313572088,0.7564343028582378,35.138283
280,115,-103.22258205013485,0.7556778685553796,35.399914
