episode,episode_length,total_reward,epsilon,avg_q_value
49,35,-13.0,0.7822236754458713,-0.7406631
50,28,-8.0,0.778312557068642,-0.6867339
51,20,-18.0,0.7744209942832988,-0.50681835
52,16,-12.0,0.7705488893118823,-0.8238959
53,27,3.0,0.7666961448653229,-0.5828264
54,77,33.0,0.7628626641409962,-0.5566152
55,20,-6.0,0.7590483508202912,-0.7501236
56,104,-12.0,0.7552531090661897,-0.64496255
57,95,37.0,0.7514768435208588,-0.5590736
58,51,15.0,0.7477194593032545,-0.6170181
59,34,14.0,0.7439808620067382,-0.65184253
60,23,-3.0,0.7402609576967045,-0.6332363
61,28,8.0,0.736559652908221,-0.6825192
62,16,0.0,0.7328768546436799,-0.6280103
63,23,3.0,0.7292124703704616,-0.60586286
64,19,-17.0,0.7255664080186093,-0.7203463
65,56,20.0,0.7219385759785162,-0.4574801
66,16,-14.0,0.7183288830986236,-1.1186287
67,20,0.0,0.7147372386831305,-0.6033635
68,29,5.0,0.7111635524897149,-0.7277883
69,62,36.0,0.7076077347272662,-0.75859493
70,15,-13.0,0.7040696960536299,-0.8167454
71,38,6.0,0.7005493475733617,-0.84156495
72,41,-35.0,0.697046600835495,-1.039371
73,14,-8.0,0.6935613678313175,-0.75813454
74,33,-11.0,0.6900935609921609,-0.9076239
75,159,-15.0,0.6866430931872001,-0.75513697
76,14,-8.0,0.6832098777212641,-1.0584459
77,51,-9.0,0.6797938283326578,-0.7397593
78,26,-10.0,0.6763948591909945,-0.8203696
79,66,-38.0,0.6730128848950395,-0.80476546
80,12,-10.0,0.6696478204705644,-0.8407346
81,45,19.0,0.6662995813682115,-0.7845755
82,102,8.0,0.6629680834613705,-0.8556198
83,50,10.0,0.6596532430440636,-0.763042
84,44,22.0,0.6563549768288433,-0.7413142
85,30,-2.0,0.653073201944699,-0.7208934
86,27,3.0,0.6498078359349755,-1.0285351
87,43,13.0,0.6465587967553006,-0.8948902
88,24,-2.0,0.6433260027715241,-0.7640333
89,13,-9.0,0.6401093727576664,-0.8723259
90,43,13.0,0.6369088258938781,-0.9994886
91,26,-6.0,0.6337242817644086,-0.7931802
92,48,18.0,0.6305556603555866,-0.8269604
93,18,-4.0,0.6274028820538087,-1.0212045
94,27,9.0,0.6242658676435396,-1.1183745
95,182,-10.0,0.6211445383053219,-1.0296614
96,75,15.0,0.6180388156137953,-1.0263233
97,47,7.0,0.6149486215357263,-0.7545553
98,56,0.0,0.6118738784280476,-0.9546392
99,69,7.0,0.6088145090359074,-0.9485638
100,57,-19.0,0.6057704364907278,-0.81846166
101,34,8.0,0.6027415843082742,-0.8829131
102,68,-24.0,0.5997278763867329,-0.82827747
103,109,45.0,0.5967292370047992,-0.8592683
104,22,0.0,0.5937455908197752,-0.9739703
105,25,5.0,0.5907768628656763,-0.921809
106,32,12.0,0.5878229785513479,-0.9243712
107,49,9.0,0.5848838636585911,-0.7682909
108,108,44.0,0.5819594443402982,-0.9631052
109,64,-2.0,0.5790496471185967,-0.82280827
110,27,1.0,0.5761543988830038,-0.8852205
111,53,21.0,0.5732736268885887,-0.88501287
112,18,-12.0,0.5704072587541458,-0.85916984
113,117,31.0,0.567555222460375,-0.8090161
114,71,45.0,0.5647174463480732,-0.88343966
115,142,46.0,0.5618938591163328,-0.7788637
116,15,-3.0,0.5590843898207511,-0.8921827
117,17,-9.0,0.5562889678716474,-0.65002084
118,117,75.0,0.5535075230322891,-0.83984053
119,184,38.0,0.5507399854171277,-0.8768036
120,62,8.0,0.547986285490042,-0.86192644
121,22,4.0,0.5452463540625918,-0.812853
122,47,7.0,0.5425201222922789,-0.6513097
123,70,22.0,0.5398075216808175,-0.7209982
124,19,-7.0,0.5371084840724134,-0.8468149
125,31,1.0,0.5344229416520513,-0.6911809
126,116,36.0,0.531750826943791,-0.8558302
127,19,-3.0,0.5290920728090721,-0.8502423
128,159,91.0,0.5264466124450268,-0.8506352
129,74,12.0,0.5238143793828016,-0.9629449
130,44,22.0,0.5211953074858876,-0.72019947
131,60,34.0,0.5185893309484582,-0.83418953
132,24,-8.0,0.5159963842937159,-0.71116066
133,174,132.0,0.5134164023722473,-0.7842043
134,95,63.0,0.510849320360386,-0.6478175
135,113,57.0,0.5082950737585841,-0.74876225
136,27,5.0,0.5057535983897912,-0.7288623
137,130,22.0,0.5032248303978422,-0.7520455
138,130,-12.0,0.500708706245853,-0.7524601
139,140,54.0,0.4982051627146237,-0.6225106
140,19,3.0,0.49571413690105054,-0.77259207
141,93,31.0,0.4932355662165453,-0.5504247
142,161,55.0,0.4907693883854626,-0.74435616
143,40,18.0,0.4883155414435353,-0.6202326
144,12,-8.0,0.4858739637363176,-0.7436688
145,265,151.0,0.483444593917636,-0.3368744
146,38,12.0,0.4810273709480478,-0.38973814
147,32,-20.0,0.47862223409330756,-0.21244448
148,114,20.0,0.47622912292284103,-0.33473086
149,57,23.0,0.4738479773082268,-0.24901298
150,75,31.0,0.47147873742168567,-0.3118654
151,75,3.0,0.46912134373457726,-0.25687137
152,23,-3.0,0.46677573701590436,-0.45719358
153,54,30.0,0.46444185833082485,-0.17831326
154,28,6.0,0.46211964903917074,-0.21613654
155,174,106.0,0.4598090507939749,-0.13916191
156,95,25.0,0.457510005540005,-0.23483333
157,122,74.0,0.45522245551230495,-0.29483098
158,149,115.0,0.4529463432347434,0.04235214
159,8,-6.0,0.4506816115185697,-0.06674355
160,117,43.0,0.4484282034609769,0.100011796
161,170,66.0,0.446186062443672,0.12741402
162,73,25.0,0.4439551321314536,0.20055768
163,128,70.0,0.4417353564707963,0.17168868
164,30,-2.0,0.43952667968844233,0.17316681
